N,P,K,temperature,humidity,ph,rainfall,label,Cropping Season,Harvesting Season,Soil Type
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,June-September,October-November,"Alluvial Soil, Laterite Soil"
